code,food_group,reference,food_item_name,moisture_g,energy_kcal,energy_kj,nitrogen_g,protein_g,fat_g,safa_g,mufa_g,pufa_g,cholesterol_mg,carbohydrate_total_g,carbohydrate_available_g,total_sugar_g,added_sugar_g,fiber_g,starch_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mcg,iodine_mcg,selenium_mcg,vitamin_a_rae_mcg,vitamin_a_re_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,folate_mcg,vitamin_b12_mcg,pantothenate_mg,biotin_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,phytate_mg,data_quality_flags
MW01_0001,Staples,R06,"African cake, (Chikondamoyo/ Chigumu cha nthochi ndi dzira)",49.0,215,911,0.91,5.7,3.0,,,,,41.4,38.2,,0.00,3.2,,0.8,15,1.8,54,23,292,12,0.88,0.13,323,0.42,0.0,5,,0.19,0.08,0.8,0.292,15,0.1,,,4,,0.72,,
MW01_0002,Staples,R07,"Banana fritters, (Zitumbuwa)",54.8,189,800,0.51,3.2,2.5,0.12,0.23,0.79,,38.5,35.6,,1.79,2.9,,1.0,11,1.0,46,24,377,4,0.51,0.11,665,,,3,0,0.10,0.06,0.8,0.356,12,,,,7,0.00,1.10,,added_sugar_g:low_confidence;vitamin_d_mcg:assumed
MW01_0003,Staples,R44,"Bread, wheat, brown, homemade (Buledi wa bulawuni)",11.2,362,1531,1.72,10.7,6.2,1.71,0.93,0.52,0,65.9,63.2,,2.75,2.7,,0.8,13,4.3,36,134,198,34,0.30,0.04,42,0.18,0.0,35,0,0.39,0.19,1.9,0.181,56,0.0,0.10,1.1,,,0.55,,cholesterol_mg:assumed;added_sugar_g:low_confidence
MW01_0004,Staples,2,"Bread, wheat, white, commercial, (Buledi woyera)",35.6,256,1086,1.36,8.5,1.5,,,,,52.1,48.9,,,3.2,,2.3,55,1.2,29,102,137,2000,0.99,0.30,455,,,,,0.15,0.04,1.2,0.071,30,0.0,0.31,,,,,,moisture_g:low_confidence;fiber_g:low_confidence;ash_g:low_confidence
MW01_0005,Staples,8,"Bread, wheat, white, homemade, (Buledi woyera)",37.2,270,1141,1.65,10.4,4.6,,,,,46.9,46.5,,,0.4,,1.4,28,1.2,23,92,116,541,0.59,0.16,,,,0,,0.52,0.05,1.5,0.059,29,0.0,,,0,0.00,0.00,,
MW01_0006,Staples,R30,"Cake, banana, (Keke ya nthochi)",32.8,335,1405,0.85,5.1,13.9,6.16,3.35,2.00,,47.3,45.9,,12.88,1.3,,0.9,15,0.8,18,67,186,133,0.46,0.07,483,,,126,,0.25,0.34,2.9,0.445,40,0.4,0.14,0.3,3,,1.66,,added_sugar_g:low_confidence
MW01_0007,Staples,R65,"Cake, plain, (Keke)",39.6,293,1233,0.94,5.6,10.9,4.17,2.26,1.42,,43.2,42.5,,10.00,0.7,,0.7,59,0.7,12,87,105,113,0.50,0.06,228,,,109,,0.18,0.28,2.3,0.224,30,0.3,0.17,0.4,0,,1.05,,added_sugar_g:low_confidence
MW01_0008,Staples,R17,"Cassava stew, with pigeon pea, (Chinangwa chophika ndi nandolo)",89.9,40,170,0.20,1.3,0.1,,0.00,,0,8.5,7.8,,0.00,0.7,,0.3,30,0.7,18,21,71,16,0.34,0.18,66,0.28,0.4,2,,0.04,0.02,0.2,0.025,18,0.0,0.00,,3,0.00,0.06,,mufa_g:assumed;cholesterol_mg:assumed;added_sugar_g:assumed;vitamin_b12_mcg:assumed;vitamin_d_mcg:assumed
MW01_0009,Staples,R16,"Cassava thick porridge, (Nsima ya kondowole)",84.2,64,271,0.06,0.4,0.4,,0.00,,0,14.8,14.1,,0.00,0.7,,0.3,30,0.1,12,19,101,5,0.14,0.04,,1.77,0.0,,,0.01,0.02,0.2,0.028,6,0.0,,,1,0.00,,,mufa_g:assumed;cholesterol_mg:assumed;added_sugar_g:assumed;vitamin_b12_mcg:assumed;vitamin_d_mcg:assumed
MW01_0010,Staples,9,"Cassava, tuber, boiled, (Chinangwa chophika)",63.0,146,619,0.17,1.1,0.3,,0.00,,0,34.8,33.1,,0.00,1.7,,0.9,26,0.6,22,43,263,7,0.60,0.20,280,,,1,,0.03,0.04,0.4,0.062,14,0.0,,,19,0.00,0.18,,mufa_g:assumed;cholesterol_mg:assumed;added_sugar_g:assumed;vitamin_b12_mcg:assumed
